strain,id,flavors,positive,medical,Type,Rating,Flavor
Serious 6,1779,"Citrus, Lemon, Tropical","Hungry, Happy, Creative, Energetic, Focused","Depression, Stress, Fatigue, Eye Pressure, Inflammation",sativa,3.8,"Spicy/Herbal,Citrus,Lemon"
Sexxpot,1780,"Flowery, Tropical, Skunk","Relaxed, Hungry, Creative, Uplifted","Pain, Lack of Appetite, Fatigue, Spasticity, Muscle Spasms",indica,4.1,"Pungent,Tropical,Flowery"
Shaman,1781,"Sweet, Lemon, Earthy","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Stress, Nausea, Headache, Fatigue, Headaches",sativa,4.2,"Sweet,Lemon,Flowery"
Shark Attack,1783,"Earthy, Pungent, Skunk","Hungry, Happy, Focused","Insomnia, Pain, Stress, Cramps, Inflammation",indica,4.2,"Earthy,Pungent,Skunk"
Shark Bite,1784,"Pungent, Sweet, Tropical","Relaxed, Euphoric, Energetic, Uplifted","Depression, Insomnia, Stress",hybrid,4.1,"Tropical,Pungent,Sweet"
Shark Shock,1785,"Woody, Pine, Spicy/Herbal","Relaxed, Euphoric, Happy, Focused","Depression, Pain, Stress, Headache, Inflammation, Muscle Spasms",indica,4.2,"Earthy,Woody,Spicy/Herbal"
Shiatsu Kush,1787,"Earthy, Spicy/Herbal, Pungent","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Headaches",hybrid,4.4,"Sweet,Tropical,Mango"
Shipwreck,1789,"Pine, Earthy, Pungent","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",sativa,4.5,"Sweet,Pine,Earthy"
Shishkaberry,1790,"Berry, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Pain, Stress, Nausea, Headaches, Eye Pressure",indica,4.3,"Berry,Blueberry,Sweet"
Shiskaquine,1791,"Berry, Citrus, Pine","Relaxed, Euphoric, Happy, Energetic, Uplifted","Pain, Stress, Headaches, Eye Pressure",hybrid,4.6,"Sweet,Earthy,Berry"
Shiva Skunk,1792,"Skunk, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Focused","Pain, Stress, Lack of Appetite, Headache, Headaches, Muscle Spasms",indica,4.2,"Skunk,Earthy,Pine"
Shoreline,1793,"Skunk, Earthy, Pungent","Relaxed, Hungry, Euphoric, Happy, Giggly","Pain, Stress, Nausea, Headache, Fatigue, Muscle Spasms",hybrid,4.4,"Skunk,Spicy/Herbal,Sweet"
Sierra Mist,1795,"Citrus, Sweet, Butter","Relaxed, Euphoric, Happy, Creative, Giggly","Pain, Stress, Cramps, Nausea, Headaches",hybrid,4.7,"Citrus,Sweet,Diesel"
Silver Back,1796,"Citrus, Earthy, Tropical","Euphoric, Happy, Talkative, Uplifted, Aroused","Depression, Insomnia, Stress, Lack of Appetite, Nausea",hybrid,4.0,"Citrus,Tropical,Earthy"
Silver Bubble,1797,"Sweet, Citrus, Pungent","Relaxed, Happy, Uplifted, Sleepy, Focused","Depression, Insomnia, Stress, Lack of Appetite, Fatigue",hybrid,4.5,"Sweet,Woody,Berry"
Silver Haze,1799,"Earthy, Sweet, Woody","Euphoric, Happy, Energetic, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms",sativa,4.2,"Earthy,Sweet,Pungent"
Silver Kush,1800,"Citrus, Earthy, Pungent","Relaxed, Happy, Creative, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.4,"Earthy,Chemical,Citrus"
Silver Pearl,1802,"Citrus, Skunk, Pungent","Energetic, Uplifted, Tingly","Insomnia, Pain, Stress, Headache, Fatigue, Eye Pressure",hybrid,4.3,"Skunk,Pine,Mango"
Silver Surfer,1803,"Sweet, Woody, Earthy","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.3,"Citrus,Lime,Lemon"
Silver Train,1804,"Pine, Sweet, Pungent","Euphoric, Creative, Energetic, Focused, Aroused","Depression, Pain, Stress, Inflammation",sativa,4.7,"Pine,Lemon,Spicy/Herbal"
Silverback Gorilla,1805,"Pungent, Flowery, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Muscle Spasms",indica,4.5,"Earthy,Pine,Sweet"
Silverfalls Kush,1806,"Sweet, Berry, Spicy/Herbal","Relaxed, Hungry, Euphoric, Happy, Giggly","Insomnia, Pain, Stress, Cramps, Inflammation",hybrid,4.8,"Sweet,Spicy/Herbal,Strawberry"
Sin City Kush,1808,"Grape, Pine, Nutty","Relaxed, Euphoric, Uplifted, Tingly, Giggly","Depression, Insomnia, Stress, Eye Pressure, Muscle Spasms",indica,4.9,"Grape,Pine,Nutty"
Sirius Black,1812,"Grape, Berry, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Muscle Spasms",indica,4.6,"Grape,Sweet,Pepper"
Six Shooter,1813,"Skunk, Sweet, Citrus","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Stress, Lack of Appetite, Fatigue, Headaches",hybrid,4.6,"Sweet,Skunk,Citrus"
Skins Skunk,1814,"Lemon, Strawberry, Sweet","Relaxed, Hungry, Euphoric, Happy, Giggly","Depression, Pain, Stress, Cramps, Muscle Spasms",hybrid,5.0,"Lemon,Sweet,Strawberry"
Skunk 47,1815,"Chemical, Earthy, Skunk","Relaxed, Happy, Uplifted","Depression, Pain, Stress, Cramps, Nausea",indica,4.3,"Earthy,Skunk,Berry"
Skunk Dawg,1816,"Skunk, Diesel, Sweet","Relaxed, Happy, Creative, Uplifted, Focused","Pain, Stress, Nausea, Headaches, Inflammation",sativa,4.4,"Skunk,Pungent,Earthy"
Skunk Haze,1817,"Woody, Earthy, Spicy/Herbal","Relaxed, Hungry, Euphoric, Happy, Focused","Depression, Pain, Stress, Lack of Appetite, Muscle Spasms",hybrid,4.1,"Earthy,Woody,Skunk"
Star Killer,1820,"Earthy, Lemon, Pungent","Relaxed, Hungry, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Inflammation",indica,4.5,"Earthy,Lemon,Pungent"
Star Master Kush,1821,"Skunk, Pine, Earthy","Relaxed, Euphoric, Uplifted, Sleepy, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite",indica,4.7,"Skunk,Pine,Earthy"
Star Tonic,1822,"Citrus, Earthy, Sweet","Relaxed, Euphoric, Happy, Creative, Focused","Depression, Pain, Stress, Headaches, Inflammation",hybrid,4.7,"Citrus,Sweet,Lemon"
Stardawg,1824,"Diesel, Earthy, Pungent","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.5,"Diesel,Pungent,Earthy"
Stardawg Guava,1825,"Tropical, Sweet, Chemical","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.6,"Tropical,Sweet,Pungent"
Starfighter,1826,"Pine, Woody, Pungent","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Stress, Lack of Appetite, Nausea, Fatigue",hybrid,4.1,"Pine,Pungent,Woody"
Starry Night,1827,"Pungent, Berry, Blue Cheese","Euphoric, Happy, Creative, Tingly, Focused","Depression, Pain, Stress, Lack of Appetite, Muscle Spasms",hybrid,4.6,"Berry,Earthy,Pungent"
Stella Blue,1828,"Flowery, Sweet, Tree Fruit","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Nausea, Fatigue",sativa,4.6,"Sweet,Flowery,Berry"
Stephen Hawking Kush,1829,"Earthy, Woody, Pine","Relaxed, Euphoric, Happy, Tingly, Focused","Pain, Stress, Nausea, Headache, Inflammation, Muscle Spasms",indica,4.6,"Earthy,Woody,Berry"
Stevie Wonder,1830,"Orange, Pepper, Woody","Happy, Energetic, Uplifted, Tingly, Focused","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.6,"Earthy,Pine,Orange"
Strawberry,1832,"Strawberry, Sweet, Berry","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headache, Fatigue",sativa,4.4,"Strawberry,Sweet,Flowery"
Strawberry Amnesia,1833,"Strawberry, Earthy, Pine","Relaxed, Euphoric, Energetic, Uplifted, Focused","Depression, Stress, Headache, Fatigue, Headaches, Eye Pressure",sativa,4.5,"Strawberry,Sweet,Earthy"
Strawberry Banana,1834,"Strawberry, Sweet, Berry","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.5,"Strawberry,Sweet,Berry"
Strawberry Blondie,1835,"Strawberry, Sweet, Pungent","Euphoric, Happy, Creative, Energetic","Depression, Stress, Lack of Appetite, Fatigue, Eye Pressure",hybrid,4.9,"Strawberry,Sweet,Earthy"
Strawberry Blue,1836,"Strawberry, Sweet, Berry","Euphoric, Happy, Energetic, Uplifted, Giggly","Depression, Pain, Stress, Lack of Appetite, Nausea",sativa,4.2,"Strawberry,Sweet,Berry"
Strawberry Cheesecake,1837,"Sweet, Strawberry, Flowery","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headaches",indica,4.4,"Strawberry,Sweet,Cheese"
Strawberry Cough,1838,"Strawberry, Sweet, Berry","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.3,"Strawberry,Sweet,Berry"
Strawberry Diesel,1839,"Strawberry, Diesel, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",hybrid,4.3,"Diesel,Strawberry,Sweet"
Strawberry Dream,1840,"Strawberry, Sweet, Berry","Relaxed, Euphoric, Creative, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Nausea",hybrid,4.4,"Strawberry,Sweet,Berry"
Strawberry Durban Diesel,1841,"Strawberry, Earthy, Diesel","Creative, Energetic, Talkative, Uplifted, Aroused","Depression, Stress",sativa,4.4,"Strawberry,Earthy,Diesel"
Strawberry Fields,1842,"Strawberry, Berry, Sweet","Relaxed, Euphoric, Happy, Uplifted, Tingly","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",indica,4.6,"Strawberry,Sweet,Berry"
Strawberry Frost,1843,"Strawberry, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Aroused","Depression, Pain, Stress, Cramps, Headaches",indica,5.0,"Sweet,Strawberry,Earthy"
Strawberry Ice,1844,"Sweet, Strawberry, Berry","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.8,"Strawberry,Sweet,Berry"
Strawberry Kush,1845,"Strawberry, Sweet, Berry","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.2,"Strawberry,Sweet,Pungent"
Strawberry Lemonade,1846,"Lemon, Strawberry, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.3,"Strawberry,Lemon,Berry"
Strawberry Mango Haze,1847,"Mango, Strawberry, Sweet","Euphoric, Happy, Energetic, Uplifted, Giggly","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.6,"Strawberry,Sweet,Mango"
Strawberry Milkshake,1848,"Strawberry, Sweet, Earthy","Relaxed, Happy, Uplifted, Sleepy","Depression, Insomnia, Stress, Fatigue, Headaches",hybrid,4.4,"Sweet,Strawberry,Berry"
Strawberry Satori,1850,"Strawberry, Sweet, Earthy","Happy, Creative, Energetic, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Fatigue",sativa,4.5,"Strawberry,Berry,Pungent"
Sublime,1851,"Earthy, Flowery, Spicy/Herbal","Happy, Creative, Energetic, Uplifted, Focused","Pain, Stress, Lack of Appetite, Nausea, Headache, Fatigue",sativa,4.2,"Flowery,Pine,Earthy"
Sugar Black Rose,1852,"Sweet, Rose, Earthy","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Nausea, Headache",indica,4.5,"Rose,Sweet,Flowery"
Sugar Cookie,1853,"Sweet, Earthy, Pine","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.3,"Sweet,Earthy,Tar"
Sugar Kush,1854,"Sweet, Earthy, Chemical","Relaxed, Hungry, Happy, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Headaches",indica,4.1,"Sweet,Woody,Pine"
Sugar Mama,1855,"Sweet, Citrus, Pungent","Relaxed, Euphoric, Happy, Uplifted, Aroused","Depression, Insomnia, Pain, Stress, Fatigue",indica,4.8,"Sweet,Tropical,Blueberry"
Sugar Plum,1857,"Sweet, Berry, Lavender","Relaxed, Euphoric, Happy, Creative, Uplifted","Pain, Stress, Lack of Appetite, Nausea, Headache, Inflammation",sativa,4.5,"Sweet,Plum,Tropical"
Sugar Punch,1858,"Skunk, Sweet, Pine","Hungry, Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.8,"Skunk,Sweet,Woody"
Sugar Shack,1859,"Earthy, Pine, Sweet","Relaxed, Happy, Creative, Energetic, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.6,"Earthy,Pine,Sweet"
Suicide Girl,1860,"Citrus, Sweet, Violet","Relaxed, Euphoric, Happy, Creative, Talkative",Fatigue,hybrid,4.8,"Violet,Sweet,Citrus"
Summertime Squeeze,1861,"Tea, Earthy, Flowery","Happy, Creative, Talkative, Giggly",Fatigue,sativa,4.9,"Tea,Earthy,Spicy/Herbal"
Sumo Grande,1862,Citrus,"Hungry, Creative, Focused, Aroused","Depression, Stress, Lack of Appetite, Fatigue",sativa,4.5,"Citrus,Sweet,Pine"
Sun Ra,1864,"Citrus, Earthy, Sweet","Hungry, Euphoric, Happy, Focused","Insomnia, Stress, Lack of Appetite",sativa,4.7,"Citrus,Sweet,Earthy"
Sunburn,1865,"Citrus, Earthy, Sweet","Relaxed, Happy, Creative, Energetic, Uplifted","Pain, Stress, Headache, Fatigue, Inflammation, Muscle Spasms",sativa,4.6,"Citrus,Earthy,Sweet"
Sunset Haze,1867,"Citrus, Flowery, Sweet","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Pain, Stress, Inflammation, Muscle Spasms",hybrid,4.2,"Sweet,Citrus,Flowery"
Sunshine,1869,"Citrus, Sweet, Tropical","Happy, Creative, Energetic, Uplifted, Focused","Depression, Pain, Stress, Nausea, Eye Pressure",sativa,4.7,"Citrus,Sweet,Tea"
Sunshine Daydream,1871,"Blueberry, Skunk, Berry","Relaxed, Euphoric, Happy, Creative","Depression, Pain, Nausea, Headaches, Inflammation",indica,4.4,"Pungent,Diesel,Flowery"
Supa Don,1872,"Apricot, Flowery, Spicy/Herbal","Happy, Creative, Energetic, Uplifted, Focused","Depression, Insomnia, Stress, Fatigue, Headaches",sativa,4.5,"Spicy/Herbal,Sweet,Apricot"
Super Blue Dream,1874,"Blueberry, Sweet, Earthy","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Stress, Lack of Appetite, Nausea, Headache, Fatigue",hybrid,4.3,"Sweet,Blueberry,Tea"
Super Bud,1875,"Citrus, Mint, Flowery","Relaxed, Happy, Creative, Sleepy, Giggly","Insomnia, Pain, Stress, Lack of Appetite, Eye Pressure",indica,4.1,"Citrus,Mint,Flowery"
Super Cat Piss,1876,"Coffee, Lemon","Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Stress, Nausea",sativa,4.0,"Coffee,Lemon"
Super Cheese,1877,"Cheese, Blue Cheese, Earthy","Relaxed, Euphoric, Happy, Sleepy","Depression, Insomnia, Pain, Stress, Headaches",indica,4.5,"Cheese,Blue,Cheese,Earthy"
Super Green Crack,1879,"Citrus, Pungent, Earthy","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",sativa,4.5,"Earthy,Flowery,Pungent"
Super Jack,1880,"Sweet, Earthy, Pungent","Happy, Energetic, Talkative, Uplifted, Focused","Depression, Stress, Lack of Appetite, Fatigue, Headaches",sativa,4.5,"Sweet,Pungent,Skunk"
Super Kush,1881,"Earthy, Pine, Pungent","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.2,"Earthy,Minty,Flowery"
Super Lemon Haze,1882,"Lemon, Citrus, Sweet","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Headaches",sativa,4.4,"Lemon,Citrus,Sweet"
Super Silver Haze,1884,"Citrus, Earthy, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue",sativa,4.4,"Citrus,Earthy,Sweet"
Super Silver Lights,1885,"Flowery, Sweet, Pungent","Euphoric, Happy, Creative, Uplifted, Giggly","Depression, Headaches, Inflammation, Muscle Spasms",hybrid,4.5,"Flowery,Sweet,Pungent"
Super Skunk,1886,"Skunk, Earthy, Sweet","Relaxed, Hungry, Euphoric, Happy, Creative","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms",indica,4.2,"Skunk,Earthy,Sweet"
Super Snow Dog,1887,"Citrus, Sweet, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.5,"Citrus,Flowery,Earthy"
Super Sour Diesel,1888,"Diesel, Earthy, Sweet","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Nausea, Fatigue",sativa,4.5,"Diesel,Sweet,Earthy"
Super Sour Skunk,1890,"Sweet, Honey, Tropical","Euphoric, Happy, Creative, Energetic, Tingly","Depression, Pain, Stress, Lack of Appetite, Fatigue",hybrid,4.5,"Citrus,Earthy,Diesel"
Super Sour Widow,1891,"Pungent, Earthy, Spicy/Herbal","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Fatigue, Inflammation",hybrid,4.7,"Pungent,Spicy/Herbal,Earthy"
Super Sweet,1892,"Sweet, Honey, Berry","Euphoric, Happy, Creative, Talkative, Giggly","Depression, Stress, Cramps, Fatigue, Inflammation",hybrid,4.8,"Sweet,Honey,Berry"
Supergirl,1893,"Earthy, Woody, Spicy/Herbal","Relaxed, Euphoric, Happy, Sleepy, Giggly","Depression, Pain, Stress, Nausea, Fatigue",indica,4.5,"Earthy,Woody,Spicy/Herbal"
Superglue,1894,"Pungent, Pine, Earthy","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.7,"Earthy,Woody,Pine"
Supernatural,1897,"Citrus, Earthy, Spicy/Herbal","Relaxed, Euphoric, Energetic, Focused, Aroused","Stress, Lack of Appetite, Fatigue, Headaches, Eye Pressure",sativa,4.4,"Earthy,Citrus,Flowery"
Supernova,1898,"Pungent, Tropical, Sweet","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Nausea",hybrid,4.3,"Sweet,Pungent,Flowery"
Superstar,1899,"Flowery, Earthy, Citrus","Relaxed, Euphoric","Depression, Pain, Stress, Fatigue, Muscle Spasms",hybrid,4.0,"Citrus,Blueberry,Strawberry"
Suzy Q,1900,"Pine, Minty, Earthy","Relaxed, Hungry, Uplifted, Sleepy, Focused","Pain, Stress, Nausea, Headaches, Muscle Spasms",hybrid,4.3,"Pine,Earthy,Spicy/Herbal"
Swazi Gold,1901,"Earthy, Woody, Pine","Hungry, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",sativa,3.7,"Woody,Citrus,Earthy"
Sweet Baby Jane,1902,"Citrus, Pine, Sweet","Relaxed, Happy, Talkative, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Inflammation",indica,4.3,"Citrus,Sweet,Pungent"
Sweet Berry,1903,"Berry, Sweet, Blueberry","Relaxed, Euphoric, Happy, Creative, Uplifted","Pain, Stress, Fatigue, Spasticity",hybrid,4.2,"Berry,Sweet,Sage"
Sweet Black Angel,1904,"Sweet, Berry, Pine","Relaxed, Euphoric, Happy, Tingly, Sleepy","Depression, Pain, Stress, Lack of Appetite, Nausea",indica,4.7,"Sweet,Pine,Berry"
Sweet Cheese,1905,"Cheese, Sweet, Chemical","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Insomnia, Stress, Lack of Appetite, Fatigue",sativa,4.3,"Cheese,Sweet,Pungent"
Sweet Deep Grapefruit,1906,"Grapefruit, Citrus, Grape","Relaxed, Hungry, Euphoric, Sleepy","Insomnia, Pain, Stress, Inflammation, Muscle Spasms",indica,4.0,"Grapefruit,Citrus,Sweet"
Sweet Diesel,1907,"Woody, Sweet, Diesel","Relaxed, Happy, Energetic, Talkative, Uplifted","Depression, Pain, Stress, Nausea, Headache, Headaches",sativa,4.1,"Woody,Sweet,Diesel"
Sweet Dream,1908,"Berry, Pungent, Earthy","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Stress, Cramps, Fatigue, Headaches",hybrid,4.6,"Berry,Earthy,Pungent"
Sweet Dreams,1909,"Sweet, Lemon, Pine","Relaxed, Hungry, Happy, Talkative, Sleepy","Depression, Insomnia, Pain, Stress, Fatigue",hybrid,4.3,"Earthy,Skunk,Pungent"
Sweet Harlem Diesel,1910,"Pear, Citrus, Diesel","Euphoric, Happy, Creative, Aroused","Depression, Pain, Lack of Appetite, Fatigue, Inflammation",hybrid,4.7,"Pear,Diesel,Sweet"
Sweet Jane,1911,"Rose, Citrus, Sweet","Happy, Creative, Focused, Aroused","Depression, Stress, Lack of Appetite, Fatigue, Headaches",sativa,4.6,"Rose,Sweet,Citrus"
Sweet Kush,1912,"Citrus, Flowery, Lime","Relaxed, Hungry, Euphoric, Energetic, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Headaches",hybrid,4.4,"Citrus,Sweet,Flowery"
Sweet Lafayette,1913,"Chestnut, Citrus, Earthy","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Insomnia, Pain, Stress, Headaches",indica,3.6,"Citrus,Earthy,Pine"
Sweet Nina,1914,"Citrus, Flowery, Pungent","Relaxed, Euphoric, Happy, Focused","Depression, Stress, Fatigue",hybrid,3.9,"Diesel,Skunk,Tobacco"
Sweet Pebbles,1915,"Sweet, Berry, Blueberry","Relaxed, Euphoric, Creative, Uplifted, Focused","Depression, Pain, Cramps, Lack of Appetite, Inflammation",hybrid,4.8,"Sweet,Berry,Citrus"
Sweet Tooth,1917,"Sweet, Berry, Earthy","Relaxed, Hungry, Happy, Uplifted, Sleepy","Insomnia, Pain, Stress, Lack of Appetite, Headaches",indica,4.2,"Sweet,Flowery,Berry"
Swiss Bliss,1919,"Sweet, Citrus, Earthy","Hungry, Euphoric, Happy, Creative, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",hybrid,4.0,"Sweet,Citrus,Earthy"
Swiss Gold,1920,"Citrus, Diesel, Berry","Relaxed, Hungry, Happy, Uplifted, Focused","Depression, Pain, Stress, Headaches, Inflammation",sativa,4.6,"Diesel,Citrus,Berry"
Swiss Tsunami,1923,"Citrus, Earthy, Orange","Relaxed, Happy, Uplifted, Focused, Giggly","Depression, Insomnia, Pain, Stress, Headaches",sativa,4.8,"Earthy,Citrus,Orange"
Tahoe Alien,1926,"Sweet, Earthy, Pine","Relaxed, Hungry, Happy, Talkative, Giggly","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.5,"Pine,Diesel,Skunk"
Tahoe Hydro Champagne,1928,"Citrus, Earthy, Flowery","Euphoric, Happy, Energetic, Talkative, Uplifted","Depression, Stress, Fatigue",hybrid,3.7,"Sweet,Citrus,Lime"
Taliban Poison,1932,"Diesel, Pine, Skunk","Relaxed, Hungry, Happy, Giggly, Aroused","Depression, Pain, Cramps, Nausea, Headache, Muscle Spasms",indica,3.7,"Diesel,Skunk,Pine"
Tangelo,1933,"Citrus, Earthy, Sweet","Euphoric, Happy, Energetic, Uplifted, Focused","Depression, Stress, Fatigue, Eye Pressure, Inflammation",hybrid,4.3,"Citrus,Sweet,Earthy"
Tangelo Kush,1934,"Lemon, Sweet, Citrus","Relaxed, Talkative, Uplifted, Sleepy, Giggly","Depression, Insomnia, Pain",hybrid,4.0,"Peach,Lemon,Citrus"
Tangerine,1936,"Orange, Citrus, Sweet","Relaxed, Happy, Creative, Energetic, Uplifted","Insomnia, Pain, Stress, Headache, Headaches, Inflammation",hybrid,4.2,"Citrus,Orange,Sweet"
Tangerine Dream,1937,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Headache, Headaches, Inflammation",hybrid,4.4,"Citrus,Orange,Sweet"
Tangerine Haze,1938,"Citrus, Orange, Sweet","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Headache, Fatigue, Eye Pressure",hybrid,4.5,"Citrus,Orange,Sweet"
Tangerine Kush,1939,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.1,"Citrus,Orange,Tropical"
Tangerine Man,1940,"Orange, Citrus, Pungent","Hungry, Euphoric, Happy, Energetic, Uplifted","Depression, Insomnia, Pain, Stress, Fatigue",sativa,4.8,"Citrus,Orange,Pungent"
Tangerine Power,1941,"Citrus, Orange, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Nausea, Headaches",hybrid,4.4,"Citrus,Orange,Sweet"
Tangerine Sunrise,1942,"Citrus, Woody, Earthy","Euphoric, Happy, Creative, Energetic, Tingly","Depression, Pain, Stress, Fatigue, Inflammation",sativa,4.8,"Citrus,Woody,Sage"
Tangie,1943,"Citrus, Orange, Sweet","Euphoric, Happy, Creative, Energetic, Uplifted","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.5,"Citrus,Orange,Sweet"
Tangie Dream,1944,"Citrus, Orange, Sweet","Relaxed, Hungry, Euphoric, Creative, Talkative","Insomnia, Eye Pressure",hybrid,4.4,"Citrus,Sweet,Orange"
Tangilope,1946,"Sweet, Citrus, Orange","Relaxed, Happy, Talkative, Uplifted, Focused","Depression, Pain, Stress, Lack of Appetite, Fatigue",sativa,4.6,"Citrus,Orange,Tropical"
Tango Kush,1947,"Mango, Tropical, Citrus","Euphoric, Creative, Energetic, Focused","Depression, Pain, Stress, Fatigue, Headaches",hybrid,4.3,"Mango,Sweet,Citrus"
Tembo Kush,1949,"Woody, Sweet, Berry","Happy, Energetic, Uplifted, Sleepy, Focused",Fatigue,hybrid,4.5,"Sweet,Berry,Earthy"
Tesla,1951,"Pepper, Strawberry, Sweet","Relaxed, Euphoric, Happy, Uplifted","Depression, Stress, Inflammation",hybrid,4.7,"Tropical,Pepper,Sweet"
Tesla Tower,1952,"Berry, Blueberry, Flowery","Relaxed, Creative, Energetic, Uplifted, Tingly","Depression, Pain, Stress, Fatigue, Eye Pressure",sativa,4.8,"Pepper,Sweet,Berry"
Thai,1953,"Earthy, Pungent, Flowery","Relaxed, Happy, Energetic, Uplifted, Focused","Depression, Pain, Stress, Headache, Fatigue, Headaches",sativa,4.2,"Earthy,Flowery,Sweet"
Thai Girl,1954,"Earthy, Honey, Pungent","Relaxed, Happy, Creative, Energetic, Uplifted","Depression, Stress, Nausea, Fatigue, Inflammation",hybrid,4.0,"Tropical,Sweet,Citrus"
