strain,id,flavors,positive,medical,Type,Rating,Flavor
Northern Lights,1437,"Earthy, Pine, Sweet","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.4,"Earthy,Sweet,Pine"
Northern Skunk,1440,"Skunk, Earthy, Pungent","Relaxed, Euphoric, Happy, Uplifted, Focused","Depression, Pain, Stress, Headaches, Inflammation",hybrid,4.5,"Skunk,Earthy,Pungent"
Northern Wreck,1441,"Earthy, Sweet, Spicy/Herbal","Relaxed, Euphoric, Happy, Creative, Sleepy","Depression, Pain, Stress, Nausea, Fatigue",indica,4.8,"Earthy,Woody,Citrus"
Nova,1442,"Berry, Earthy, Pine","Relaxed, Euphoric, Creative","Depression, Inflammation",indica,4.9,"Berry,Earthy,Woody"
Nuken,1444,"Earthy, Sweet, Spicy/Herbal","Relaxed, Euphoric, Happy, Uplifted, Giggly","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache",indica,4.5,"Sweet,Earthy,Woody"
Nurse Jackie,1445,"Lemon, Pine, Chemical","Relaxed, Euphoric, Happy, Energetic, Uplifted","Depression, Pain, Stress, Headaches, Inflammation",sativa,4.4,"Lemon,Pine,Menthol"
Obama Kush,1467,"Sweet, Earthy, Pine","Relaxed, Euphoric, Happy, Creative, Uplifted","Depression, Insomnia, Pain, Stress, Headache, Headaches",indica,4.4,"Earthy,Sweet,Pungent"
Odyssey,1468,"Sweet, Skunk, Flowery","Relaxed, Happy, Uplifted, Tingly, Focused","Depression, Insomnia, Pain, Stress, Headache, Headaches",hybrid,4.3,"Sweet,Skunk,Flowery"
Ogre,1469,"Earthy, Skunk, Pungent","Relaxed, Hungry, Euphoric, Happy, Uplifted","Depression, Insomnia, Pain, Stress, Lack of Appetite",hybrid,4.1,"Skunk,Pungent,Earthy"
Ogre Berry,1470,"Berry, Earthy, Blueberry","Relaxed, Happy, Uplifted, Focused, Giggly","Depression, Pain, Stress, Cramps, Fatigue",indica,4.3,"Blueberry,Berry,Earthy"
Old Toby,1474,"Lime, Pine, Chemical","Euphoric, Happy, Creative, Uplifted, Tingly","Pain, Stress, Cramps, Fatigue, Headaches",hybrid,4.2,"Lime,Pine,Spicy/Herbal"
